Month,Borough,Major Category,Minor Category,Count
201701,Camden,Criminal Damage,Criminal Damage To Dwelling,37
201701,Camden,Criminal Damage,Criminal Damage To Motor Vehicle,59
201701,Camden,Criminal Damage,Criminal Damage To Other Building,25
201701,Camden,Criminal Damage,Other Criminal Damage,37
201701,Camden,Drugs,Drug Trafficking,5
201701,Camden,Drugs,Possession Of Drugs,90
201701,Camden,Fraud & Forgery,Other Fraud & Forgery,7
201701,Camden,Other Notifiable Offences,Going Equipped,2
201701,Camden,Other Notifiable Offences,Other Notifiable,30
201701,Camden,Robbery,Business Property,6
201701,Camden,Robbery,Personal Property,76
201701,Camden,Sexual Offences,Other Sexual,30
201701,Camden,Sexual Offences,Rape,15
201701,Camden,Theft & Handling,Handling Stolen Goods,4
201701,Camden,Theft & Handling,Motor Vehicle Interference & Tampering,23
201701,Camden,Theft & Handling,Other Theft,425
201701,Camden,Theft & Handling,Theft From Motor Vehicle,148
201701,Camden,Theft & Handling,Theft From Shops,154
201701,Camden,Theft & Handling,Theft Person,301
201701,Camden,Theft & Handling,Theft/Taking Of Motor Vehicle,68
201701,Camden,Theft & Handling,Theft/Taking Of Pedal Cycle,77
201701,Camden,Violence Against The Person,Assault With Injury,103
201701,Camden,Violence Against The Person,Common Assault,178
201701,Camden,Violence Against The Person,Harassment,214
201701,Camden,Violence Against The Person,Offensive Weapon,12
201701,Camden,Violence Against The Person,Other Violence,26
201701,Camden,Violence Against The Person,Wounding/GBH,55
201701,Croydon,Burglary,Burglary In A Dwelling,150
201701,Croydon,Burglary,Burglary In Other Buildings,79
201701,Croydon,Criminal Damage,Criminal Damage To Dwelling,59
201701,Croydon,Criminal Damage,Criminal Damage To Motor Vehicle,110
201701,Croydon,Criminal Damage,Criminal Damage To Other Building,20
201701,Croydon,Criminal Damage,Other Criminal Damage,71
201701,Croydon,Drugs,Drug Trafficking,6
201701,Croydon,Drugs,Other Drugs,2
201701,Croydon,Drugs,Possession Of Drugs,143
201701,Croydon,Fraud & Forgery,Other Fraud & Forgery,5
201701,Croydon,Other Notifiable Offences,Other Notifiable,57
201701,Croydon,Robbery,Business Property,10
201701,Croydon,Robbery,Personal Property,123
201701,Croydon,Sexual Offences,Other Sexual,25
201701,Croydon,Sexual Offences,Rape,22
201701,Croydon,Theft & Handling,Handling Stolen Goods,4
201701,Croydon,Theft & Handling,Motor Vehicle Interference & Tampering,38
201701,Croydon,Theft & Handling,Other Theft,260
201701,Croydon,Theft & Handling,Theft From Motor Vehicle,211
201701,Croydon,Theft & Handling,Theft From Shops,138
201701,Croydon,Theft & Handling,Theft Person,42
201701,Croydon,Theft & Handling,Theft/Taking Of Motor Vehicle,75
201701,Croydon,Theft & Handling,Theft/Taking Of Pedal Cycle,12
201701,Croydon,Violence Against The Person,Assault With Injury,185
201701,Croydon,Violence Against The Person,Common Assault,252
201701,Croydon,Violence Against The Person,Harassment,288
201701,Croydon,Violence Against The Person,Offensive Weapon,19
201701,Croydon,Violence Against The Person,Other Violence,36
201701,Croydon,Violence Against The Person,Wounding/GBH,84
201701,Ealing,Burglary,Burglary In A Dwelling,164
201701,Ealing,Burglary,Burglary In Other Buildings,73
201701,Ealing,Criminal Damage,Criminal Damage To Dwelling,40
201701,Ealing,Criminal Damage,Criminal Damage To Motor Vehicle,53
201701,Ealing,Criminal Damage,Criminal Damage To Other Building,19
201701,Ealing,Criminal Damage,Other Criminal Damage,48
201701,Ealing,Drugs,Drug Trafficking,3
201701,Ealing,Drugs,Other Drugs,2
201701,Ealing,Drugs,Possession Of Drugs,96
